Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
5.165306091526591565e+20	9.295055992659150529e+19	1.356922659152659199e+02	5.605919665265966533e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.990919359152659509e+05
2.659059999999999669e+21	9.063559999999999692e+20	1.225950000000000055e+02	9.565569999999999502e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.999590000000000000e+05
5.066569999999999935e+21	6.336910000000000326e+20	1.152309999999999955e+02	5.229920000000000300e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.506250000000000000e+05
5.661960000000000131e+21	9.552500000000000000e+20	1.010250000000000009e+02	6.255359999999999625e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.939650000000000000e+05
9.092320000000000000e+21	2.160590000000000066e+21	9.536939999999999566e+01	5.093110000000000090e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.256330000000000000e+05
2.333269999999999656e+22	5.910519999999999669e+21	5.659959999999999659e+01	3.653159999999999951e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.199990000000000000e+06
9.266609999999999999e+22	1.691690000000000092e+22	2.232660000000000156e+01	1.695390000000000059e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.295550000000000000e+06
1.662295000000000190e+23	2.059901000000000009e+23	5.156359999999999960e+00	5.059535999999999663e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.659210000000000000e+05
1.293535999999999916e+23	5.595110000000000522e+23	1.599596666666666651e+00	1.916999999999999930e+00	6.000000000000000000e+01	5.500000000000000000e+01	5.591116666666666299e+05
3.599330000000000199e+22	6.316630000000000116e+22	1.205603333333333360e+00	1.569990000000000235e+00	6.000000000000000000e+01	5.500000000000000000e+01	1.362665333333333196e+05
3.619591500000000595e+21	1.165012999999999915e+22	9.955239500000000329e-01	1.255902500000000055e+00	6.000000000000000000e+01	5.500000000000000000e+01	2.209629999999999929e+05
2.206966999999999636e+20	6.966165000000000592e+21	9.159960000000000966e-01	1.023665599999999999e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.191260000000000216e+03
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
