Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
18,5.045652692307692093e+20,7.420597684615384269e+19,1.354066923076923104e+02,5.560483084615461280e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.343203307692307862e+04
19,1.998680000000000000e+21,5.666300000000000000e+20,1.282050000000000125e+02,7.179769999999999897e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.261120000000000000e+05
20,2.649059999999999869e+21,7.083449999999999672e+20,1.224950000000000045e+02,7.585469999999999402e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.799490000000000000e+05
21,5.088569999999999934e+21,8.338910000000000328e+20,1.152309999999999945e+02,5.227920000000000300e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.506250000000000000e+05
22,5.681980000000000131e+21,8.552400000000000000e+20,1.010240000000000009e+02,7.245349999999999824e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.739840000000000000e+05
23,8.092320000000000000e+21,2.160590000000000066e+21,7.538939999999999486e+01,5.093110000000000070e+01,7.000000000000000000e+01,5.500000000000000000e+01,8.256330000000000000e+05
24,2.333269999999999856e+22,5.710419999999999869e+21,5.659749999999999659e+01,3.853159999999999741e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.197790000000000000e+06
25,7.288609999999999777e+22,1.871890000000000092e+22,2.232860000000000156e+01,1.874370000000000047e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.295450000000000000e+06
26,1.882275000000000190e+23,2.049701000000000009e+23,5.146349999999999980e+00,5.047534999999999883e+00,7.000000000000000000e+01,5.500000000000000000e+01,8.659210000000000000e+05
27,1.273535999999999916e+23,5.595110000000000422e+23,1.579576666666666851e+00,1.918779999999999930e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.591116666666666279e+05
28,2.819996500000000023e+22,7.654099999999999869e+22,1.177349999999999897e+00,1.534032499999999910e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.118516250000000000e+05
29,1.278461500000000016e+21,8.789193333333333901e+21,8.395581666666666054e-01,1.107741333333333245e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.212368666666666650e+04
30,7.323260000000000000e+19,5.890919999999999738e+21,7.317399999999999682e-01,1.094859999999999944e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.808920000000000073e+03
31,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
